"","admin2","longitude","avprev","effortRank","comRank"
"1","Banfora",-4.605542,0.2568109,3,8
"2","Banfora",-4.749786,0.62871285,2,4
"3","Banfora",-4.88891,0.1826965,3,9
"4","Banfora",-4.834913,0.55050505,2,4
"5","Banfora",-4.853712,0.19387755,3,8
"6","Banfora",-4.796116,0.23241885,3,8
"7","Banfora",-5.052586,0.4347935,2,5
"8","Banfora",-4.954452,0.2459772,3,8
"10","Banfora",-4.949062,0.368932,2,5
"11","Banfora",-4.745618,0.5858586,2,4
"12","Banfora",-4.60394,0.20905465,3,8
"13","Barsalogho",-1.043689,0.2070707,2,5
"14","Barsalogho",-1.27892,0.55670105,1,1
"16","Barsalogho",-0.901513,0.1458333,2,6
"17","Barsalogho",-1.123518,0.66226375,1,1
"18","Barsalogho",-0.7764314,0.12,2,6
"20","Batie",-3.017045,0.5148515,2,4
"21","Batie",-2.861531,0.1818182,3,9
"22","Batie",-2.878176,0.64185045,2,4
"23","Batie",-2.833709,0.1831413,3,9
"25","Batie",-3.1327,0.5490196,2,4
"26","Bogande",0.183807,0.5294118,1,1
"27","Bogande",0.3481489,0.465,1,2
"28","Bogande",-0.1640498,0.1818182,2,6
"29","Bogande",-0.1626602,0.54135105,1,1
"30","Bogande",-0.1835026,0.59113645,1,1
"32","Bogande",0.402831,0.1745536,2,6
"33","Bogande",-0.0394785,0.4675245,1,2
"35","Bogande",0.2745159,0.425904,1,2
"36","Bogande",-0.1806012,0.1938687,2,5
"37","Bogande",0.1081911,0.1711253,2,6
"38","Boulsa",-0.4737438,0.112435,3,9
"39","Boulsa",-0.2754956,0.1848024,3,8
"40","Boulsa",-0.3456123,0.407767,1,2
"42","Boulsa",-0.5646009,0.4980303,1,1
"43","Boulsa",-0.4795494,0.537449,1,1
"44","Boulsa",-0.2619749,0.21813725,3,8
"45","Boulsa",-0.7319599,0.33333335,1,2
"46","Boulsa",-0.3595786,0.54453655,1,1
"47","Boulsa",-0.5625368,0.6702127,1,1
"48","Boulsa",-0.3754031,0.17,3,9
"49","Boulsa",-0.634289,0.4059086,1,2
"50","Boulsa",-0.5231618,0.1734694,3,9
"51","Dande",-4.202687,0.54933725,1,1
"52","Dande",-4.40366,0.52851145,1,1
"54","Dande",-4.552338,0.1644272,2,6
"55","Dande",-4.189598,0.20539885,2,5
"56","Dande",-4.216161,0.56288515,1,1
"57","Dande",-4.52635,0.1479592,2,6
"59","Dedougou",-3.636761,0.6082474,2,4
"60","Dedougou",-3.808473,0.23262225,2,5
"61","Dedougou",-3.765638,0.3734694,2,5
"62","Dedougou",-3.157021,0.44094795,2,5
"63","Dedougou",-2.936864,0.3180693,2,5
"64","Dedougou",-3.371921,0.34821785,2,5
"65","Dedougou",-3.291292,0.37151515,2,5
"66","Dedougou",-3.948592,0.27651515,2,5
"67","Dedougou",-3.510888,0.38320135,2,5
"69","Dedougou",-3.727072,0.2817411,2,5
"70","Dedougou",-3.721888,0.37238095,2,5
"71","Dedougou",-3.594098,0.3047619,2,5
"72","Diapaga",1.810118,0.5714962,1,1
"74","Diapaga",1.946796,0.3214286,1,2
"75","Diapaga",1.413769,0.0964331,2,6
"76","Diapaga",1.533653,0.1340206,2,6
"77","Diapaga",1.833363,0.1684211,2,6
"78","Diapaga",1.391808,0.62,1,1
"79","Diapaga",1.915328,0.2061616,2,5
"80","Diapaga",1.494549,0.19925745,2,5
"81","Diapaga",2.066783,0.1595745,2,6
"82","Diapaga",1.699159,0.2592079,2,5
"83","Diapaga",1.989433,0.13550505,2,6
"84","Diapaga",1.897151,0.2229021,2,5
"85","Diapaga",1.358536,0.1785714,2,6
"87","Diapaga",2.034711,0.49058845,1,1
"90","Diapaga",1.790466,0.3582653,2,5
"91","Diapaga",1.255299,0.2255545,2,5
"92","Diapaga",1.560579,0.37055015,1,2
"93","Diapaga",1.705164,0.53637255,1,1
"94","Diapaga",1.901474,0.009901,2,6
"95","Diapaga",1.415711,0.335,1,2
"96","Diapaga",1.319163,0.1711829,2,6
"97","Diapaga",1.805227,0.33538355,1,2
"98","Diapaga",2.221891,0.62675255,1,1
"99","Diapaga",1.243889,0.42330095,1,2
"100","Djibo",-0.8813526,0.0721649,3,9
"101","Djibo",-2.04494,0.37160265,2,5
"102","Djibo",-1.567915,0.2195652,3,8
"103","Djibo",-1.746375,0.1961616,3,8
"104","Djibo",-1.077676,0.1666667,3,9
"106","Djibo",-1.421236,0.48449575,2,4
"107","Djibo",-1.726494,0.19946895,3,8
"108","Djibo",-1.318115,0.4020707,2,5
"109","Djibo",-0.9362432,0.6411418,2,4
"110","Djibo",-1.084091,0.477153,2,4
"111","Djibo",-1.136995,0.33656955,2,5
"112","Djibo",-1.425958,0.6020408,2,4
"113","Djibo",-0.9388838,0.24374815,3,8
"114","Djibo",-1.052525,0.20200755,3,8
"115","Djibo",-0.8789681,0.41271845,2,5
"118","Djibo",-1.38151,0.28925455,2,5
"120","Djibo",-1.059306,0.16836735,3,9
"121","Djibo",-1.705043,0.4809804,2,4
"122","Djibo",-0.8159258,0.2102757,3,8
"123","Djibo",-0.9589999,0.18932665,3,8
"124","Fada",1.126017,0.1623972,2,6
"125","Fada",0.5180793,0.5196078,1,1
"126","Fada",1.198171,0.1802525,2,6
"127","Fada",0.9060885,0.29244685,2,5
"128","Fada",0.7050166,0.60087715,1,1
"129","Fada",1.069388,0.74,1,1
"130","Fada",1.183317,0.18141415,2,6
"131","Fada",0.4217457,0.6107373,1,1
"132","Fada",0.4801601,0.2359736,2,5
"133","Fada",0.297941,0.2076316,2,5
"134","Fada",0.2193775,0.6534653,1,1
"135","Fada",1.296713,0.1849422,2,5
"136","Fada",1.075343,0.8709677,1,1
"137","Fada",0.7138727,0.1691659,2,6
"138","Fada",0.955583,0.3154623,1,2
"139","Fada",1.247129,0.4444444,1,2
"141","Fada",-0.0131693,0.44207705,1,2
"143","Fada",0.5250795,0.19606795,2,5
"144","Fada",1.205956,0.1939694,2,5
"145","Gaoua",-3.507147,0.410041,1,2
"146","Gaoua",-2.961713,0.4580097,1,2
"147","Gaoua",-3.741669,0.17821785,2,6
"148","Gaoua",-3.365883,0.2471026,2,5
"149","Gaoua",-3.459753,0.3014616,2,5
"150","Gaoua",-3.208155,0.43167115,1,2
"151","Gaoua",-3.004894,0.5671154,1,1
"152","Gaoua",-2.978024,0.1414141,2,6
"153","Gaoua",-3.214237,0.19547195,2,5
"154","Gaoua",-3.698872,0.2278469,2,5
"155","Gaoua",-3.031915,0.355567,1,2
"156","Gaoua",-3.596253,0.62017085,1,1
